,loss,accuracy,precision,recall
0,1.0839970111846924,0.6667550802230835,0.6603773832321167,0.0005462690023705363
1,1.0509878396987915,0.6665678024291992,0.3207547068595886,0.0002653306582942605
2,1.0236356258392334,0.6665158271789551,0.24561403691768646,0.0002185075863962993
3,0.9998953938484192,0.6664949655532837,0.29629629850387573,0.00037458445876836777
4,0.9786705374717712,0.6665677428245544,0.4112149477005005,0.0006867381744086742
5,0.959187388420105,0.6666771173477173,0.5081967115402222,0.0009676764602772892
6,0.9407616853713989,0.6670413017272949,0.6935483813285828,0.002013391349464655
7,0.923044741153717,0.6686437129974365,0.8799999952316284,0.006867381278425455
8,0.905913770198822,0.6721919775009155,0.950764000415802,0.017480608075857162
9,0.8891807794570923,0.6762133240699768,0.9669210910797119,0.029654601588845253
10,0.8726726770401001,0.6828987002372742,0.9797047972679138,0.049726083874702454
11,0.8562335968017578,0.6913164258003235,0.9811128973960876,0.07540072500705719
12,0.8397406339645386,0.7005769610404968,0.9787015318870544,0.10399400442838669
13,0.8231420516967773,0.7115805149078369,0.9725232720375061,0.13865867257118225
14,0.8063840866088867,0.7245450019836426,0.9664570093154907,0.1798785775899887
15,0.789363443851471,0.7379000782966614,0.9584170579910278,0.2233927994966507
16,0.7720732092857361,0.7540802359580994,0.9522502422332764,0.2760843336582184
17,0.7545527815818787,0.7722891569137573,0.9476538896560669,0.3353935480117798
18,0.7367214560508728,0.7952793836593628,0.9459215402603149,0.4092335104942322
19,0.7186487913131714,0.8270511031150818,0.9479251503944397,0.5091226696968079
20,0.7003044486045837,0.8624286651611328,0.9491715431213379,0.6205147504806519
21,0.6817006468772888,0.8841701745986938,0.9483709335327148,0.6900781989097595
22,0.6628970503807068,0.8979828357696533,0.9465849995613098,0.7354497313499451
23,0.6438135504722595,0.9068480730056763,0.9443995356559753,0.7656193971633911
24,0.6245684623718262,0.9145480394363403,0.9426586031913757,0.79180908203125
25,0.6051658391952515,0.9214047789573669,0.9416901469230652,0.8146587610244751
26,0.5856031775474548,0.9264982342720032,0.9403911828994751,0.8322486281394958
27,0.5659673810005188,0.9301347136497498,0.9390975832939148,0.8452185988426208
28,0.5462510585784912,0.9329596757888794,0.9376656413078308,0.8557693958282471
29,0.5265548825263977,0.9350876212120056,0.9365417957305908,0.8637917041778564
30,0.5069443583488464,0.9372051954269409,0.9365649819374084,0.8705810904502869
31,0.4875035285949707,0.9386773109436035,0.9358597993850708,0.8760749697685242
32,0.46830326318740845,0.940721869468689,0.9358441829681396,0.8826770186424255
33,0.44944050908088684,0.9423867464065552,0.9359094500541687,0.8879680633544922
34,0.4309922456741333,0.9442857503890991,0.9364489912986755,0.8934931755065918
35,0.41303449869155884,0.9460493326187134,0.9372974634170532,0.8982378840446472
36,0.3955685794353485,0.947964072227478,0.9386510252952576,0.9029045701026917
37,0.3786632716655731,0.9499253034591675,0.9402878880500793,0.907399594783783
38,0.36243125796318054,0.9517462253570557,0.9419317245483398,0.9114263653755188
39,0.3468005657196045,0.9533641338348389,0.9433172941207886,0.9150785803794861
40,0.33186089992523193,0.9547587037086487,0.9446433782577515,0.9180752635002136
41,0.31760504841804504,0.9560694098472595,0.945736289024353,0.92105633020401
42,0.30402177572250366,0.9577084183692932,0.9476219415664673,0.9242090582847595
43,0.2911224365234375,0.9588788747787476,0.9488978981971741,0.9265346527099609
44,0.2788764536380768,0.960606038570404,0.9512916207313538,0.929406464099884
45,0.26729920506477356,0.9618547558784485,0.9530059695243835,0.9314978718757629
46,0.2563633322715759,0.9631138443946838,0.9545751810073853,0.9337766170501709
47,0.24602636694908142,0.9645653367042542,0.9563422203063965,0.9364455342292786
48,0.23627227544784546,0.9659230709075928,0.9579333066940308,0.9390051364898682
49,0.22704915702342987,0.9675775766372681,0.9599815607070923,0.9420018196105957
50,0.2183333784341812,0.9689561128616333,0.961435854434967,0.9447643756866455
51,0.2101256102323532,0.970241367816925,0.9629341959953308,0.9471836090087891
52,0.202392116189003,0.9713078141212463,0.9642879962921143,0.9490721225738525
53,0.19508177042007446,0.9721453785896301,0.9653947949409485,0.9505080580711365
54,0.18816331028938293,0.9729102253913879,0.9664194583892822,0.95180344581604
55,0.18164502084255219,0.9736593961715698,0.9674122929573059,0.9530832767486572
56,0.17548169195652008,0.974601149559021,0.9686752557754517,0.9546752572059631
57,0.1696457415819168,0.9757663607597351,0.9699131846427917,0.9569852352142334
58,0.1641366332769394,0.9766196608543396,0.9707932472229004,0.9587020874023438
59,0.15890999138355255,0.9776965975761414,0.9718399047851562,0.9609339833259583
60,0.1539643108844757,0.9787163138389587,0.9730731844902039,0.9627912640571594
61,0.1492690145969391,0.9795434474945068,0.9740804433822632,0.9642896056175232
62,0.14483147859573364,0.9802092909812927,0.9747750759124756,0.9656162858009338
63,0.14061780273914337,0.9810730218887329,0.9758279323577881,0.9671770334243774
64,0.13658788800239563,0.9817598462104797,0.9766420722007751,0.9684412479400635
65,0.1327613890171051,0.9822125434875488,0.977154016494751,0.9692996740341187
66,0.1291159838438034,0.9828940629959106,0.9777261018753052,0.9707980155944824
67,0.12565648555755615,0.9833570718765259,0.978252649307251,0.9716720581054688
68,0.12236013263463974,0.9839606285095215,0.9789834022521973,0.9727646112442017
69,0.11922232806682587,0.9843769073486328,0.9795213341712952,0.9734825491905212
70,0.11622048914432526,0.9848449230194092,0.9801375269889832,0.9742785096168518
71,0.11334368586540222,0.9854536056518555,0.9809881448745728,0.9752618074417114
72,0.11059299856424332,0.9858074188232422,0.9814311861991882,0.9758861064910889
