,loss,accuracy,precision,recall
2096,0.025994516909122467,0.9954736828804016,0.9932106733322144,0.9932106733322144
2097,0.026016073301434517,0.9954737424850464,0.9932106733322144,0.9932106733322144
2098,0.025977877900004387,0.9954841732978821,0.9932262897491455,0.9932262897491455
2099,0.02599438838660717,0.9955049157142639,0.993257462978363,0.993257462978363
2100,0.02591586485505104,0.995494544506073,0.9932418465614319,0.9932418465614319
2101,0.025907468050718307,0.9955049753189087,0.993257462978363,0.993257462978363
2102,0.02589910663664341,0.9955779910087585,0.9933667182922363,0.9933667182922363
2103,0.025910062715411186,0.9955153465270996,0.9932730793952942,0.9932730793952942
2104,0.025874357670545578,0.995494544506073,0.9932418465614319,0.9932418465614319
2105,0.025781389325857162,0.9955256581306458,0.9932886958122253,0.9932886958122253
2106,0.025732578709721565,0.9955673813819885,0.9933511018753052,0.9933511018753052
2107,0.025743894279003143,0.9955675601959229,0.9933511018753052,0.9933511018753052
2108,0.02573210746049881,0.9955363273620605,0.9933043122291565,0.9933043122291565
2109,0.02570595033466816,0.9956039786338806,0.9934134483337402,0.9933979511260986
2110,0.02564527466893196,0.9955881237983704,0.9933823347091675,0.9933823347091675
2111,0.02563820593059063,0.9955675005912781,0.9933511018753052,0.9933511018753052
2112,0.025616904720664024,0.995525598526001,0.9932886958122253,0.9932886958122253
2113,0.02563067153096199,0.9955673217773438,0.9933511018753052,0.9933511018753052
2114,0.02561861276626587,0.9955673813819885,0.9933511018753052,0.9933511018753052
2115,0.02553926408290863,0.995598554611206,0.9933979511260986,0.9933979511260986
2116,0.025531789287924767,0.9955986738204956,0.9933979511260986,0.9933979511260986
2117,0.02550809644162655,0.9955776929855347,0.9933667182922363,0.9933667182922363
2118,0.025497790426015854,0.995577871799469,0.9933667182922363,0.9933667182922363
2119,0.025421354919672012,0.9956194758415222,0.9934291839599609,0.9934291839599609
2120,0.025447724387049675,0.9955465793609619,0.9933199286460876,0.9933199286460876
2121,0.025375371798872948,0.9956192970275879,0.9934291839599609,0.9934291839599609
2122,0.02535296231508255,0.9955881834030151,0.9933823347091675,0.9933823347091675
2123,0.02531968243420124,0.9955776929855347,0.9933667182922363,0.9933667182922363
2124,0.025298021733760834,0.9956610798835754,0.9934915900230408,0.9934915900230408
2125,0.025285368785262108,0.9956299066543579,0.9934448003768921,0.9934448003768921
2126,0.025341950356960297,0.9955984354019165,0.9933979511260986,0.9933979511260986
2127,0.025282995775341988,0.9956715106964111,0.9935072064399719,0.9935072064399719
2128,0.025180770084261894,0.9956402778625488,0.9934603571891785,0.9934603571891785
2129,0.0251374002546072,0.9957129955291748,0.9935696125030518,0.9935696125030518
2130,0.025209574028849602,0.9955883026123047,0.9933823347091675,0.9933823347091675
2131,0.02531089074909687,0.9956610202789307,0.9934915900230408,0.9934915900230408
2132,0.02510269545018673,0.9957026243209839,0.9935540556907654,0.9935540556907654
2133,0.02505272813141346,0.9957340359687805,0.9936008453369141,0.9936008453369141
2134,0.02502279542386532,0.9956921935081482,0.9935384392738342,0.9935384392738342
2135,0.025037679821252823,0.9957026243209839,0.9935540556907654,0.9935540556907654
2136,0.02496480569243431,0.9956923127174377,0.9935384392738342,0.9935384392738342
2137,0.02495715580880642,0.9956714510917664,0.9935072064399719,0.9935072064399719
2138,0.025013817474246025,0.9957337379455566,0.9936008453369141,0.9936008453369141
2139,0.025037482380867004,0.9956504702568054,0.9934759736061096,0.9934759736061096
2140,0.02488027885556221,0.995733916759491,0.9936008453369141,0.9936008453369141
2141,0.024880433455109596,0.995764970779419,0.9936476945877075,0.9936476945877075
2142,0.02479555644094944,0.9957337975502014,0.9936008453369141,0.9936008453369141
2143,0.02477569505572319,0.9956715703010559,0.9935072064399719,0.9935072064399719
2144,0.02480110339820385,0.9957444071769714,0.9936164617538452,0.9936164617538452
2145,0.02476383000612259,0.9958171248435974,0.9937257170677185,0.9937257170677185
2146,0.024692177772521973,0.995754599571228,0.9936320781707764,0.9936320781707764
2147,0.024702660739421844,0.9957233667373657,0.9935852289199829,0.9935852289199829
2148,0.024665530771017075,0.9957859516143799,0.993678867816925,0.993678867816925
2149,0.02459133230149746,0.9957651495933533,0.9936476945877075,0.9936476945877075
2150,0.024684390053153038,0.9957546591758728,0.9936320781707764,0.9936320781707764
2151,0.024573346599936485,0.9957338571548462,0.9936008453369141,0.9936008453369141
2152,0.024624494835734367,0.995733916759491,0.9936008453369141,0.9936008453369141
2153,0.024505047127604485,0.9958170056343079,0.9937257170677185,0.9937257170677185
2154,0.02446298860013485,0.9958379864692688,0.9937569499015808,0.9937569499015808
2155,0.024484865367412567,0.9957337975502014,0.9936008453369141,0.9936008453369141
2156,0.024433191865682602,0.9957860708236694,0.993678867816925,0.993678867816925
2157,0.024463046342134476,0.995796263217926,0.9936944842338562,0.9936944842338562
2158,0.02441350929439068,0.9958481788635254,0.9937725067138672,0.9937725067138672
2159,0.024394972249865532,0.9958587288856506,0.9937881231307983,0.9937881231307983
2160,0.02438225969672203,0.995858907699585,0.9937881231307983,0.9937881231307983
2161,0.024340137839317322,0.995796263217926,0.9936944842338562,0.9936944842338562
2162,0.024340268224477768,0.9957962036132812,0.9936944842338562,0.9936944842338562
2163,0.02424454502761364,0.9958483576774597,0.9937725067138672,0.9937725067138672
2164,0.024256693199276924,0.9958378672599792,0.9937569499015808,0.9937569499015808
2165,0.024228714406490326,0.9957650899887085,0.9936476945877075,0.9936476945877075
2166,0.024213174358010292,0.9958378076553345,0.9937569499015808,0.9937569499015808
2167,0.024190951138734818,0.995837926864624,0.9937569499015808,0.9937569499015808
2168,0.02412884309887886,0.9958274960517883,0.9937413334846497,0.9937413334846497
2169,0.02412884123623371,0.9958691596984863,0.9938037395477295,0.9938037395477295
2170,0.02413996495306492,0.9958794116973877,0.9938193559646606,0.9938193559646606
2171,0.024063779041171074,0.9958899021148682,0.9938349723815918,0.9938349723815918
2172,0.024077963083982468,0.9958377480506897,0.9937569499015808,0.9937569499015808
2173,0.02406097948551178,0.9959003329277039,0.993850588798523,0.993850588798523
2174,0.02400723472237587,0.9958690404891968,0.9938037395477295,0.9938037395477295
2175,0.02402287907898426,0.9958584904670715,0.9937881231307983,0.9937881231307983
2176,0.023987654596567154,0.9958900213241577,0.9938349723815918,0.9938349723815918
2177,0.023904509842395782,0.9958484172821045,0.9937725067138672,0.9937725067138672
